size = 0.0461106,f() = 177.18,0.721017,5.42433,0.0502585,-0.265064,0.00768926,,,,,,,
size = 0.043476,f() = 177.18,0.721017,5.42433,0.0502585,-0.265064,0.00768926,,,,,,,
size = 0.0647019,f() = 32.1985,0.652865,5.56813,0.0385261,-0.35385,0.0107812,,,,,,,
size = 0.0608345,f() = 32.1985,0.652865,5.56813,0.0385261,-0.35385,0.0107812,,,,,,,
size = 0.0608345,f() = 32.1985,0.652865,5.56813,0.0385261,-0.35385,0.0107812,,,,,,,
size = 0.0608345,f() = 32.1985,0.652865,5.56813,0.0385261,-0.35385,0.0107812,,,,,,,
size = 0.0570796,f() = 32.1985,0.652865,5.56813,0.0385261,-0.35385,0.0107812,,,,,,,
size = 0.0566692,f() = 32.1985,0.652865,5.56813,0.0385261,-0.35385,0.0107812,,,,,,,
size = 0.0952784,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0892196,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0892196,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0892196,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0771577,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0665599,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0571662,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0445599,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0439221,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0439221,f() = 7.4206,0.568552,5.69821,0.0292974,-0.432416,0.0121832,,,,,,,
size = 0.0439221,f() = 7.17785,0.603022,5.64785,0.0334137,-0.402478,0.013263,,,,,,,
size = 0.0439221,f() = 2.96066,0.57716,5.70312,0.029685,-0.435099,0.0142373,,,,,,,
size = 0.0436444,f() = 2.96066,0.57716,5.70312,0.029685,-0.435099,0.0142373,,,,,,,
size = 0.0436444,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.0380681,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.0380681,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.0380681,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.0380681,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.037336,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.0355047,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.0288343,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.019002,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.019002,f() = 2.34129,0.561504,5.72764,0.028771,-0.450129,0.0170728,,,,,,,
size = 0.018849,f() = 2.21759,0.575432,5.70597,0.0298761,-0.43662,0.0149085,,,,,,,
size = 0.0166202,f() = 2.12826,0.570074,5.71551,0.0295817,-0.442051,0.0154511,,,,,,,
size = 0.0166202,f() = 2.12826,0.570074,5.71551,0.0295817,-0.442051,0.0154511,,,,,,,
